k,features,cv_r2_mean,cv_r2_std,r2,mae,rmse
8,Cell_flexible | Cell_semitransparent | Cell_stack_sequence | Encapsulation | Outdoor_irradiance_measured | Perovskite_composition_a_ions_coefficients | Perovskite_composition_leadfree | Perovskite_deposition_solvents_mixing_ratios,0.227419881038847,0.022003301304527958,0.25842538099244405,3.6361569951754062,4.545799445420008
6,Module_JV_data_recalculated_per_cell | Perovskite_band_gap | Perovskite_composition_c_ions_coefficients | Perovskite_composition_leadfree | Perovskite_composition_perovskite_inspired_structure | Perovskite_deposition_solvents_mixing_ratios,0.22530716849395493,0.037053944696993635,0.25299674581894915,3.625624154404211,4.5624076789745365
8,Cell_flexible | Perovskite_composition_leadfree | Perovskite_composition_long_form | Perovskite_composition_perovskite_ABC3_structure | Perovskite_deposition_solvents_mixing_ratios | Perovskite_dimension_2D | Perovskite_dimension_3D_with_2D_capping_layer | Perovskite_single_crystal,0.22407520602724654,0.018822196779181972,0.23479868264962533,3.7121712233301793,4.617646652787598
5,Perovskite_composition_a_ions_coefficients | Perovskite_composition_inorganic | Perovskite_composition_perovskite_inspired_structure | Perovskite_deposition_quenching_induced_crystallisation | Perovskite_dimension_list_of_layers,0.22035921225544328,0.0051960599420907486,0.23278931833538408,3.7153979600552156,4.623705483961152
8,Cell_semitransparent | Outdoor_tested | Perovskite_composition_a_ions_coefficients | Perovskite_composition_inorganic | Perovskite_composition_leadfree | Perovskite_composition_long_form | Perovskite_dimension_list_of_layers | Perovskite_single_crystal,0.21928074019913668,0.023939909696368767,0.23561945051361033,3.7023699446828937,4.615169505435585
7,Add_lay_back | Module_number_of_cells_in_module | Outdoor_tested | Perovskite_composition_a_ions_coefficients | Perovskite_composition_leadfree | Perovskite_deposition_solvents_mixing_ratios | Perovskite_deposition_thermal_annealing_time,0.21855804759235667,0.02975576421674212,0.2453715730599726,3.6640700718749795,4.585634363496896
7,Outdoor_irradiance_measured | Perovskite_composition_c_ions_coefficients | Perovskite_composition_inorganic | Perovskite_composition_perovskite_ABC3_structure | Perovskite_composition_perovskite_inspired_structure | Perovskite_deposition_number_of_deposition_steps | Perovskite_deposition_quenching_induced_crystallisation,0.21816399264066008,0.0013881893400229685,0.226224913238668,3.7001205297671436,4.643444017777807
8,Cell_area_total | Perovskite_band_gap | Perovskite_composition_a_ions_coefficients | Perovskite_composition_leadfree | Perovskite_deposition_solvent_annealing | Perovskite_deposition_solvents_mixing_ratios | Perovskite_deposition_thermal_annealing_time | Perovskite_single_crystal,0.2177101612671645,0.04030010998151433,0.2270054697049506,3.677754607060583,4.641101357206249
5,Cell_semitransparent | Perovskite_composition_b_ions_coefficients | Perovskite_composition_inorganic | Perovskite_composition_leadfree | Perovskite_deposition_quenching_induced_crystallisation,0.2176224371490576,0.006848739210945975,0.21772778347940147,3.7504726788600538,4.668870150897005
7,Cell_semitransparent | Perovskite_band_gap_graded | Perovskite_composition_a_ions_coefficients | Perovskite_composition_inorganic | Perovskite_composition_leadfree | Perovskite_dimension_2D | Perovskite_single_crystal,0.21715522097414228,0.025877875113703652,0.23791935242140982,3.707291774318827,4.60822111206755
6,ETL_stack_sequence | Module_JV_data_recalculated_per_cell | Perovskite_composition_b_ions_coefficients | Perovskite_composition_inorganic | Perovskite_composition_leadfree | Perovskite_composition_long_form,0.21614140329797227,0.03358550988730732,0.2275660512711426,3.7056944520786814,4.639418170823365
4,Module | Perovskite_composition_c_ions_coefficients | Perovskite_composition_inorganic | Perovskite_deposition_quenching_induced_crystallisation,0.21602830618744007,0.0038648726368857786,0.22431132539771825,3.713087331235811,4.649182216952634
8,Cell_semitransparent | ETL_stack_sequence | Module_number_of_cells_in_module | Outdoor_irradiance_measured | Perovskite_composition_a_ions_coefficients | Perovskite_composition_inorganic | Perovskite_deposition_quenching_induced_crystallisation | Perovskite_dimension_2D3D_mixture,0.21584869079292998,0.004897847891092846,0.22599825981588983,3.7286164935762125,4.644124044466808
8,Module_JV_data_recalculated_per_cell | Perovskite_band_gap | Perovskite_band_gap_graded | Perovskite_composition_a_ions_coefficients | Perovskite_composition_perovskite_inspired_structure | Perovskite_deposition_quenching_induced_crystallisation | Perovskite_dimension_list_of_layers | Perovskite_single_crystal,0.21580626248114435,0.019794156060779982,0.21811244047962497,3.737803113777316,4.667722126990742
5,Module_JV_data_recalculated_per_cell | Outdoor_tested | Perovskite_composition_c_ions_coefficients | Perovskite_composition_inorganic | Perovskite_deposition_quenching_induced_crystallisation,0.2157318881368816,0.0040613170411841,0.22327757551958693,3.714357539616063,4.652279136838263
7,Add_lay_back | ETL_stack_sequence | Outdoor_tested | Perovskite_band_gap_graded | Perovskite_composition_c_ions_coefficients | Perovskite_composition_inorganic | Perovskite_deposition_quenching_induced_crystallisation,0.21482831530240434,0.007540259575483071,0.21967725961159834,3.7172338881187006,4.663048949263171
8,Add_lay_front | Module_number_of_cells_in_module | Perovskite_band_gap | Perovskite_composition_inorganic | Perovskite_composition_leadfree | Perovskite_composition_perovskite_ABC3_structure | Perovskite_deposition_quenching_induced_crystallisation | Perovskite_deposition_solvent_annealing,0.2147871722672242,0.018496401932440308,0.1995451326618779,3.785861880076093,4.72281862821606
